Rank,Title,Gross,# of Theaters,Total Gross,Release Date,Studio,Year,Score_Rotten,Score_Audience,genre,genre1,genre2,genre3,average_rating,numvotes,startYear,MISSING VALUE,Missing Rotten,Missing IMDB,day,month,final_date
1,Harry Potter and the Deathly Hallows: Part 2,381011219,4375,381011219,7/15,Warner Bros.,2011,96,89,"Adventure,Fantasy,Mystery",Adventure,Fantasy,Mystery,8.1,808813,2011,0,0,0,15,7,7/15/2011
2,Transformers: Dark of the Moon,352390543,4088,352390543,6/29,DreamWorks,2011,35,55,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.2,395497,2011,0,0,0,29,6,6/29/2011
3,The Twilight Saga: Breaking Dawn - Part 1,274841954,4066,281287133,11/18,Summit Entertainment,2011,25,60,"Adventure,Drama,Fantasy",Adventure,Drama,Fantasy,4.9,232357,2011,0,0,0,18,11,11/18/2011
4,The Hangover Part II,254464305,3675,254464305,5/26,Warner Bros.,2011,34,52,Comedy,Comedy,,,6.5,479995,2011,0,0,0,26,5,5/26/2011
5,Pirates of the Caribbean: On Stranger Tides,241071802,4164,241071802,5/20,Walt Disney Studios Motion Pictures,2011,33,54,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,6.6,500148,2011,0,0,0,20,5,5/20/2011
6,Fast Five,209837675,3793,209837675,4/29,Universal Pictures,2011,77,83,"Action,Adventure,Crime",Action,Adventure,Crime,7.3,368386,2011,0,0,0,29,4,4/29/2011
7,Cars 2,191452396,4115,191452396,6/24,Walt Disney Studios Motion Pictures,2011,40,49,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,6.1,173279,2011,0,0,0,24,6,6/24/2011
8,Thor,181030624,3963,181030624,5/6,Paramount Pictures,2011,77,76,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,7,788987,2011,0,0,0,6,5,5/6/2011
9,Rise of the Planet of the Apes,176760185,3691,176760185,8/5,Twentieth Century Fox,2011,82,77,"Action,Drama,Sci-Fi",Action,Drama,Sci-Fi,7.5,510411,2011,0,0,0,5,8,8/5/2011
10,Captain America: The First Avenger,176654505,3715,176654505,7/22,Paramount Pictures,2011,80,74,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.9,788198,2011,0,0,0,22,7,7/22/2011
11,The Help,169480526,3014,169708112,8/10,Walt Disney Studios Motion Pictures,2011,76,89,Drama,Drama,,,8,441087,2011,0,0,0,10,8,8/10/2011
12,Bridesmaids,169106725,2958,169106725,5/13,Universal Pictures,2011,90,76,"Comedy,Romance",Comedy,Romance,,6.8,281331,2011,0,0,0,13,5,5/13/2011
13,Kung Fu Panda 2,165249063,3952,165249063,5/26,DreamWorks,2011,81,74,"Action,Adventure,Animation",Action,Adventure,Animation,7.2,267488,2011,0,0,0,26,5,5/26/2011
