"gross","movies.Studio","movies.Year","movies.Title"
3810.11219,"Warner Bros.",2011,"Harry Potter and the Deathly Hallows: Part 2"
2544.64305,"Warner Bros.",2011,"The Hangover Part II"
2410.71802,"Walt Disney Studios Motion Pictures",2011,"Pirates of the Caribbean: On Stranger Tides"
2098.37675,"Universal Pictures",2011,"Fast Five"
1914.52396,"Walt Disney Studios Motion Pictures",2011,"Cars 2"
1810.30624,"Paramount Pictures",2011,"Thor"
1767.60185,"Twentieth Century Fox",2011,"Rise of the Planet of the Apes"
1766.54505,"Paramount Pictures",2011,"Captain America: The First Avenger"
1697.08112,"Walt Disney Studios Motion Pictures",2011,"The Help"
1691.06725,"Universal Pictures",2011,"Bridesmaids"
1464.08305,"Twentieth Century Fox",2011,"X-Men: First Class"
1436.19809,"Twentieth Century Fox",2011,"Rio"
1426.14158,"Sony Pictures Entertainment (SPE)",2011,"The Smurfs"
1270.04179,"Paramount Pictures",2011,"Super 8"
1868.48418,"Warner Bros.",2011,"Sherlock Holmes: A Game of Shadows"
1234.77607,"Paramount Pictures",2011,"Rango"
2093.97903,"Paramount Pictures",2011,"Mission: Impossible - Ghost Protocol"
1354.53143,"The Weinstein Company",2011,"The King's Speech"
1175.38559,"Warner Bros.",2011,"Horrible Bosses"
1166.01172,"Warner Bros.",2011,"Green Lantern"
1080.85305,"Universal Pictures",2011,"Hop"
1040.28807,"Paramount Pictures",2011,"Paranormal Activity 3"
1030.28109,"Sony Pictures Entertainment (SPE)",2011,"Just Go with It"
1712.43005,"Paramount Pictures",2011,"True Grit"
1002.92856,"Sony Pictures Entertainment (SPE)",2011,"Bad Teacher"
1002.40551,"Universal Pictures",2011,"Cowboys & Aliens"
999.6767,"Walt Disney Studios Motion Pictures",2011,"Gnomeo & Juliet"
987.80042,"Sony Pictures Entertainment (SPE)",2011,"The Green Hornet"
942.42001,"Walt Disney Studios Motion Pictures",2011,"The Lion King"
1331.10742,"Twentieth Century Fox",2011,"Alvin and the Chipmunks: Chipwrecked"
854.68508,"Walt Disney Studios Motion Pictures",2011,"Real Steel"
843.51197,"Warner Bros.",2011,"Crazy, Stupid, Love."
835.52429,"Sony Pictures Entertainment (SPE)",2011,"Battle Los Angeles"
886.31237,"Walt Disney Studios Motion Pictures",2011,"The Muppets"
803.60843,"Sony Pictures Entertainment (SPE)",2011,"Zookeeper"
780.4657,"Universal Pictures",2011,"Tower Heist"
756.58097,"Warner Bros.",2011,"Contagion"
756.05492,"Sony Pictures Entertainment (SPE)",2011,"Moneyball"
730.1391,"Paramount Pictures",2011,"Justin Bieber: Never Say Never"
722.86779,"Warner Bros.",2011,"Dolphin Tale"
741.58157,"Sony Pictures Entertainment (SPE)",2011,"Jack and Jill"
706.6222,"Paramount Pictures",2011,"No Strings Attached"
682.24452,"Twentieth Century Fox",2011,"Mr. Popper's Penguins"
1484.386,"Universal Pictures",2011,"Little Fockers"
636.86397,"Warner Bros.",2011,"Unknown"
624.95645,"Universal Pictures",2011,"The Adjustment Bureau"
640.06466,"Warner Bros.",2011,"Happy Feet Two"
587.09717,"Twentieth Century Fox",2011,"Water for Elephants"
580.092,"Lionsgate",2011,"The Lincoln Lawyer"
551.00437,"Walt Disney Studios Motion Pictures",2011,"I Am Number Four"
936.17009,"Paramount Pictures",2011,"The Fighter"
1720.62763,"Walt Disney Studios Motion Pictures",2011,"TRON: Legacy"
533.45287,"Lionsgate",2011,"Madea's Big Happy Family"
526.98535,"Twentieth Century Fox",2011,"Diary of a Wimpy Kid: Rodrick Rules"
518.02742,"Paramount Pictures",2011,"Footloose"
1025.15793,"Sony Pictures Entertainment (SPE)",2011,"The Girl with the Dragon Tattoo"
738.64507,"Paramount Pictures",2011,"Hugo"
484.7529,"Universal Pictures",2011,"The Dilemma"
464.62469,"Sony Pictures Entertainment (SPE)",2011,"Arthur Christmas"
450.60734,"Warner Bros.",2011,"Hall Pass"
545.44638,"Warner Bros.",2011,"New Year's Eve"
775.91831,"Paramount Pictures",2011,"The Adventures of Tintin"
1002.46011,"Warner Bros.",2011,"Yogi Bear"
425.87643,"Warner Bros.",2011,"Final Destination 5"
409.62534,"Sony Pictures Entertainment (SPE)",2011,"The Ides of March"
2008.21936,"Walt Disney Studios Motion Pictures",2011,"Tangled"
390.46489,"Warner Bros.",2011,"Something Borrowed"
379.15414,"Twentieth Century Fox",2011,"Big Mommas: Like Father, Like Son"
376.62162,"Warner Bros.",2011,"Red Riding Hood"
374.12945,"Universal Pictures",2011,"Paul"
756.2455,"Twentieth Century Fox",2011,"We Bought a Zoo"
370.81475,"Universal Pictures",2011,"The Change-Up"
370.53924,"Sony Pictures Entertainment (SPE)",2011,"30 Minutes or Less"
375.20095,"Twentieth Century Fox",2011,"In Time"
373.0603,"Warner Bros.",2011,"J. Edgar"
363.92502,"Warner Bros.",2011,"Sucker Punch"
798.84879,"Walt Disney Studios Motion Pictures",2011,"War Horse"
356.08245,"Universal Pictures",2011,"Larry Crowne"
350.61031,"Warner Bros.",2011,"A Very Harold & Kumar Christmas"
330.47633,"Warner Bros.",2011,"The Rite"
330.35397,"Warner Bros.",2011,"Arthur"
280.87155,"Lionsgate",2011,"Abduction"
266.92846,"Walt Disney Studios Motion Pictures",2011,"Winnie the Pooh"
304.41326,"Twentieth Century Fox",2011,"The Sitter"
248.16118,"The Weinstein Company",2011,"Our Idiot Brother"
1043.8695,"Twentieth Century Fox",2011,"The Chronicles of Narnia: The Voyage of the Dawn Treader"
232.0931,"Universal Pictures",2011,"Sanctum"
231.86769,"Twentieth Century Fox",2011,"Monte Carlo"
427.79261,"Twentieth Century Fox",2011,"Gulliver's Travels"
215.96445,"Universal Pictures",2011,"Your Highness"
213.92758,"Walt Disney Studios Motion Pictures",2011,"Mars Needs Moms"
213.0234,"Universal Pictures",2011,"Dream House"
212.95021,"Lionsgate",2011,"Conan the Barbarian"
183.02607,"Walt Disney Studios Motion Pictures",2011,"Fright Night"
676.31157,"Sony Pictures Entertainment (SPE)",2011,"The Tourist"
169.2867,"Universal Pictures",2011,"The Thing"
2959.83305,"Warner Bros.",2011,"Harry Potter and the Deathly Hallows: Part 1"
154.28747,"Walt Disney Studios Motion Pictures",2011,"African Cats"
259.78556,"Warner Bros.",2011,"Born to Be Wild"
140.11084,"Twentieth Century Fox",2011,"What's Your Number?"
136.57115,"Lionsgate",2011,"Warrior"
118.62398,"Twentieth Century Fox",2011,"Glee: The 3D Concert Movie"
163.11571,"Paramount Pictures",2011,"Young Adult"
101.43779,"The Weinstein Company",2011,"Hoodwinked Too! Hood vs. Evil"
101.30219,"Walt Disney Studios Motion Pictures",2011,"Prom"
525.22904,"Warner Bros.",2011,"Hubble 3D"
96.62284,"The Weinstein Company",2011,"I Don't Know How She Does It"
97.06328,"The Weinstein Company",2011,"Blue Valentine"
146.00347,"The Weinstein Company",2011,"My Week with Marilyn"
302.1262,"Sony Pictures Entertainment (SPE)",2011,"How Do You Know"
83.0597,"Universal Pictures",2011,"Johnny English Reborn"
76.93187,"The Weinstein Company",2011,"Elle s'appelait Sarah"
72.04138,"Twentieth Century Fox",2011,"The Big Year"
446.71682,"The Weinstein Company",2011,"The Artist"
44.63292,"Sony Pictures Entertainment (SPE)",2011,"Anonymous"
44.41272,"The Weinstein Company",2011,"The Company Men"
969.62694,"Sony Pictures Entertainment (SPE)",2011,"The Social Network"
362.62926,"Warner Bros.",2011,"Under the Sea 3D"
33.44306,"The Weinstein Company",2011,"The King's Speech"
30.33623,"Lionsgate",2011,"From Prada to Nada"
25.29395,"Sony Pictures Entertainment (SPE)",2011,"Bucky Larson: Born to Be a Star"
815.62942,"Twentieth Century Fox",2011,"Unstoppable"
6233.5791,"Walt Disney Studios Motion Pictures",2012,"The Avengers"
4481.39099,"Warner Bros.",2012,"The Dark Knight Rises"
4080.10692,"Lionsgate",2012,"The Hunger Games"
3043.60277,"Sony Pictures Entertainment (SPE)",2012,"Skyfall"
2923.24737,"Lionsgate",2012,"The Twilight Saga: Breaking Dawn - Part 2"
2620.30663,"Sony Pictures Entertainment (SPE)",2012,"The Amazing Spider-Man"
2372.83207,"Walt Disney Studios Motion Pictures",2012,"Brave"
3030.03568,"Warner Bros.",2012,"The Hobbit: An Unexpected Journey"
2188.15487,"Universal Pictures",2012,"Ted"
2140.305,"Universal Pictures",2012,"The Lorax"
1790.20854,"Sony Pictures Entertainment (SPE)",2012,"Men in Black 3"
1894.22889,"Walt Disney Studios Motion Pictures",2012,"Wreck-It Ralph"
1613.21843,"Twentieth Century Fox",2012,"Ice Age: Continental Drift"
1553.32381,"Universal Pictures",2012,"Snow White and the Huntsman"
1483.13048,"Sony Pictures Entertainment (SPE)",2012,"Hotel Transylvania"
1398.54287,"Twentieth Century Fox",2012,"Taken 2"
1384.47667,"Sony Pictures Entertainment (SPE)",2012,"21 Jump Street"
1822.07973,"Walt Disney Studios Motion Pictures",2012,"Lincoln"
1264.77084,"Twentieth Century Fox",2012,"Prometheus"
1263.73434,"Universal Pictures",2012,"Safe House"
1137.21571,"Warner Bros.",2012,"Magic Mike"
1132.0387,"Universal Pictures",2012,"The Bourne Legacy"
1360.25503,"Warner Bros.",2012,"Argo"
1038.6029,"Warner Bros.",2012,"Journey 2: The Mysterious Island"
937.72375,"Paramount Pictures",2012,"Flight"
2093.97903,"Paramount Pictures",2012,"Mission: Impossible - Ghost Protocol"
869.07746,"Warner Bros.",2012,"The Campaign"
1249.87023,"Twentieth Century Fox",2012,"Life of Pi"
850.28192,"Lionsgate",2012,"The Expendables 2"
836.70083,"Warner Bros.",2012,"Wrath of the Titans"
797.27149,"Warner Bros.",2012,"Dark Shadows"
730.781,"Walt Disney Studios Motion Pictures",2012,"John Carter"
1488.0977,"Universal Pictures",2012,"Les Misérables"
1628.05434,"The Weinstein Company",2012,"Django Unchained"
665.28,"Universal Pictures",2012,"Contraband"
656.53242,"Lionsgate",2012,"Madea's Witness Protection"
654.22625,"Universal Pictures",2012,"Battleship"
645.75175,"Twentieth Century Fox",2012,"Chronicle"
650.01093,"Universal Pictures",2012,"Pitch Perfect"
635.36011,"Sony Pictures Entertainment (SPE)",2012,"Hope Springs"
1868.48418,"Warner Bros.",2012,"Sherlock Holmes: A Game of Shadows"
604.57138,"Warner Bros.",2012,"The Lucky One"
596.50222,"Paramount Pictures",2012,"The Dictator"
588.77969,"Sony Pictures Entertainment (SPE)",2012,"Total Recall"
578.84114,"Paramount Pictures",2012,"Titanic"
570.11521,"Universal Pictures",2012,"American Reunion"
547.60791,"Twentieth Century Fox",2012,"This Means War"
547.31865,"Warner Bros.",2012,"Project X"
538.85,"Paramount Pictures",2012,"Paranormal Activity 4"
532.61944,"Paramount Pictures",2012,"The Devil Inside"
1025.15793,"Sony Pictures Entertainment (SPE)",2012,"The Girl with the Dragon Tattoo"
518.54875,"Walt Disney Studios Motion Pictures",2012,"The Odd Life of Timothy Green"
517.74002,"Sony Pictures Entertainment (SPE)",2012,"Ghost Rider: Spirit of Vengeance"
498.76377,"Twentieth Century Fox",2012,"Red Tails"
491.30154,"Lionsgate",2012,"The Possession"
490.08662,"Twentieth Century Fox",2012,"Diary of a Wimpy Kid: Dog Days"
480.86903,"Lionsgate",2012,"Sinister"
476.17067,"Walt Disney Studios Motion Pictures",2012,"Beauty and the Beast"
800.70736,"Paramount Pictures",2012,"Jack Reacher"
473.82068,"Universal Pictures",2012,"Savages"
1331.10742,"Twentieth Century Fox",2012,"Alvin and the Chipmunks: Chipwrecked"
443.38224,"Twentieth Century Fox",2012,"The Three Stooges"
452.90318,"Sony Pictures Entertainment (SPE)",2012,"Here Comes the Boom"
798.84879,"Walt Disney Studios Motion Pictures",2012,"War Horse"
434.56382,"Twentieth Century Fox",2012,"Star Wars: Episode I - The Phantom Menace"
420.73277,"Lionsgate",2012,"The Cabin in the Woods"
411.52203,"Lionsgate",2012,"What to Expect When You're Expecting"
411.28283,"Walt Disney Studios Motion Pictures",2012,"Finding Nemo"
446.71682,"The Weinstein Company",2012,"The Artist"
675.44505,"Universal Pictures",2012,"This Is 40"
756.2455,"Twentieth Century Fox",2012,"We Bought a Zoo"
385.18613,"Warner Bros.",2012,"Rock of Ages"
375.19139,"Twentieth Century Fox",2012,"Abraham Lincoln: Vampire Hunter"
374.00127,"The Weinstein Company",2012,"Lawless"
369.31089,"Sony Pictures Entertainment (SPE)",2012,"That's My Boy"
357.63137,"Warner Bros.",2012,"Trouble with the Curve"
353.53,"Twentieth Century Fox",2012,"The Watch"
350.74677,"Lionsgate",2012,"Step Up Revolution"
350.25791,"Lionsgate",2012,"Good Deeds"
352.91068,"Walt Disney Studios Motion Pictures",2012,"Frankenweenie"
772.67296,"Twentieth Century Fox",2012,"Parental Guidance"
775.91831,"Paramount Pictures",2012,"The Adventures of Tintin"
318.47881,"Warner Bros.",2012,"Extremely Loud & Incredibly Close"
310.51126,"Sony Pictures Entertainment (SPE)",2012,"The Pirates! Band of Misfits"
309.32113,"Warner Bros.",2012,"Joyful Noise"
300.17992,"The Weinstein Company",2012,"The Iron Lady"
289.72764,"Walt Disney Studios Motion Pictures",2012,"Chimpanzee"
288.35528,"Universal Pictures",2012,"The Five-Year Engagement"
1320.92958,"The Weinstein Company",2012,"Silver Linings Playbook"
271.08272,"Warner Bros.",2012,"Cloud Atlas"
264.14527,"Lionsgate",2012,"One for the Money"
258.88412,"Lionsgate",2012,"Alex Cross"
253.26071,"Paramount Pictures",2012,"Part of Me"
738.64507,"Paramount Pictures",2012,"Hugo"
371.34215,"Paramount Pictures",2012,"The Guilt Trip"
202.75446,"Sony Pictures Entertainment (SPE)",2012,"Premium Rush"
201.573,"Universal Pictures",2012,"Big Miracle"
340.43006,"Walt Disney Studios Motion Pictures",2012,"Monsters, Inc."
192.02743,"Walt Disney Studios Motion Pictures",2012,"The Secret World of Arrietty"
186.2,"Lionsgate",2012,"Man on a Ledge"
181.1964,"Warner Bros.",2012,"Chernobyl Diaries"
174.50535,"Universal Pictures",2012,"Wanderlust"
177.42948,"Lionsgate",2012,"The Perks of Being a Wallflower"
171.4208,"Lionsgate",2012,"Safe"
163.77274,"The Weinstein Company",2012,"The Master"
156.3409,"Universal Pictures",2012,"The Man with the Iron Fists"
150.26056,"The Weinstein Company",2012,"Killing Them Softly"
134.14714,"Lionsgate",2012,"Dredd"
124.34778,"Walt Disney Studios Motion Pictures",2012,"People Like Us"
116.82205,"Lionsgate",2012,"Gone"
145.60838,"Warner Bros.",2012,"To the Arctic 3D"
545.44638,"Warner Bros.",2012,"New Year's Eve"
101.9882,"The Weinstein Company",2012,"The Intouchables"
94.09538,"Paramount Pictures",2012,"Fun Size"
125.12862,"Paramount Pictures",2012,"Cirque du Soleil: Worlds Away"
